"Sharing via Twitter","Sharing via Twitter"
"Enable sharing via Twitter ","Enable sharing via Twitter "
"Link shared on Twitter","Link shared on Twitter"
"Twitter Message","Twitter Message"
"Twitter application ID","Twitter application ID"
"Twitter application secret","Twitter application secret"
"Sharing via Google+","Sharing via Google+"
"Enable sharing via Google+ ","Enable sharing via Google+ "
"Link shared on Google+","Link shared on Google+"
"Coupon Printing Configuration","Coupon Printing Configuration"
"Show maximum discount by","Show maximum discount by"
"Logo","Logo"
"Notes on Coupon Codes","Notes on Coupon Codes"
"Title color","Title color"
"Text color","Text color"
"Coupon Code background color","Coupon Code background color"
"Background image","Background image"
"If you select 'Yes', Refer Friends Plugin will be applied to all products.","If you select 'Yes', Refer Friends Plugin will be applied to all products."
"Number of earning points per purchase made by an invited friend.","Number of earning points per purchase made by an invited friend."
"If empty or zero, no discount is offered.","If empty or zero, no discount is offered."
"Method(s) will be used to refer friends and shown in frontend","Method(s) will be used to refer friends and shown in frontend"
"Example:<br/><strong>[A.8] : 8 alpha characters<br/>[N.4] : 4 numeric characters<br/>[AN.6] : 6 alphanumeric characters<br/>REWARD-[A.4]-[AN.6] : REWARD-ADFA-12NF0O</strong>","Example:<br/><strong>[A.8] : 8 alpha characters<br/>[N.4] : 4 numeric characters<br/>[AN.6] : 6 alphanumeric characters<br/>REWARD-[A.4]-[AN.6] : REWARD-ADFA-12NF0O</strong>"
"If yes, the referring method(s) will be applied for people who have already purchased on the site.","If yes, the referring method(s) will be applied for people who have already purchased on the site."
"This is the number of orders from which each invited friend can earn points. If empty or zero, there is no limitation.","This is the number of orders from which each invited friend can earn points. If empty or zero, there is no limitation."
"After choosing a position, click on the Insert Policy Variable button to add the Referral Policy description to emails shared. Please read the extension's user guide for more details.","After choosing a position, click on the Insert Policy Variable button to add the Referral Policy description to emails shared. Please read the extension's user guide for more details."
"The maximum number of emails which can be sent by a referring Customer per day. If empty or zero, there is no limitation.","The maximum number of emails which can be sent by a referring Customer per day. If empty or zero, there is no limitation."
"Please note that coupons can be applied with the maximum discount to some specific products only.","Please note that coupons can be applied with the maximum discount to some specific products only."
"Type of discount on printed coupons","Type of discount on printed coupons"
"Recommended logo size: 167x47px. The logo will be used on PDF and HTML documents. JPEG, TIFF, PNG file formats are supported.","Recommended logo size: 167x47px. The logo will be used on PDF and HTML documents. JPEG, TIFF, PNG file formats are supported."
"{store_name}: your store's name<br/>{store_url}: your store's url<br/>{store_address}: your store's address","{store_name}: your store's name<br/>{store_url}: your store's url<br/>{store_address}: your store's address"
"Select background image of coupon","Select background image of coupon"
"Refer Friends","Refer Friends"
"Catalog Product Email to a Friend","Catalog Product Email to a Friend"
"Get your discounts now!","Get your discounts now!"
"How does this work?","How does this work?"
"Question?","Question?"
"Start shopping","Start shopping"
"Share with Friend","Share with Friend"
"Share Product","Share Product"
"Refer this product to your friends and get reward points.","Refer this product to your friends and get reward points."
"Earn ","Earn "
" per purchase made via your "," per purchase made via your "
"link","link"
" or "," or "
"coupon code","coupon code"
"Get more points per purchase that meets ","Get more points per purchase that meets "
"Special Offer.","Special Offer."
"Coupon code","Coupon code"
"Share it on Facebook","Share it on Facebook"
"Share it on Google +","Share it on Google +"
"Coupon code: ","Coupon code: "
"at","at"
"Tweet it","Tweet it"
"Mail it","Mail it"
"Share With Friends","Share With Friends"
"Refer to your friends and get reward points.","Refer to your friends and get reward points."
"Select contacts to send email","Select contacts to send email"
"Select Contacts","Select Contacts"
"Share the referring link or coupon code with your friends and earn commissions.","Share the referring link or coupon code with your friends and earn commissions."
"You will receive %s when your friends create accounts via your link/coupon.","You will receive %s when your friends create accounts via your link/coupon."
"You can receive some Points per purchase made by your friends as our policy below.","You can receive some Points per purchase made by your friends as our policy below."
" per purchasing made by your friends."," per purchasing made by your friends."
"Referral Policy","Referral Policy"
"We give you some benefits to refer friends","We give you some benefits to refer friends"
"You can share your link or coupon with your friends quickly by using our strong online marketing tool, such as: email, Facebook, Twitter, G+. Find them in below.","You can share your link or coupon with your friends quickly by using our strong online marketing tool, such as: email, Facebook, Twitter, G+. Find them in below."
"Link/Coupon to share","Link/Coupon to share"
"Email has been sent successfully!","Email has been sent successfully!"
"Email does not been sent!","Email does not been sent!"
"Please enter correct emails address!.","Please enter correct emails address!."
"Please enter a correct verification code!","Please enter a correct verification code!"
"You can send a maximum of ","You can send a maximum of "
"From:","From:"
"Enter your friends","Enter your friends"
"Or retrieve contacts from","Or retrieve contacts from"
"get contacts from gmail","get contacts from gmail"
"Gmail","Gmail"
"get contacts from yahoo","get contacts from yahoo"
"Yahoo","Yahoo"
"Subject:","Subject:"
"Verification","Verification"
"Getting new captcha","Getting new captcha"
"Refresh","Refresh"
"Captcha code","Captcha code"
"Send Email","Send Email"
"Facebook","Facebook"
"This message has been posted successfully!","This message has been posted successfully!"
"This message has not been posted!","This message has not been posted!"
"Post on Facebook:","Post on Facebook:"
"Post on Facebook","Post on Facebook"
"Twitter","Twitter"
"Tweet","Tweet"
"Google+","Google+"
"Please wait...","Please wait..."
"Invited Friends","Invited Friends"
"No.","No."
"Friend Name","Friend Name"
"Invited Date","Invited Date"
"Earning Points","Earning Points"
"N/A","N/A"
"Earned Points","Earned Points"
"Edit your key and coupon.","Edit your key and coupon."
"Your Key","Your Key"
"Your Coupon","Your Coupon"
"Your new coupon is set.","Your new coupon is set."
"Coupon already exists.","Coupon already exists."
"Your new key is set.","Your new key is set."
"Key already exists.","Key already exists."
"Please edit your key.","Please edit your key."
"Please use only letters (a-z), numbers (0-9), dash(-) or underscore(_) in this field","Please use only letters (a-z), numbers (0-9), dash(-) or underscore(_) in this field"
"You have changed your key successfully.","You have changed your key successfully."
"Key has been already used.","Key has been already used."
"Apply for current Customer","Apply for current Customer"
